Geneid,Annotation w/o NA,PFAM,Control,Control,Control,Heat,Heat,Heat
g55,g55,PrpF,0,0,0,0,0,0
g56,g56,Exo70,0,0,0,0,0,0
g57,g57,-,0,0,0,0,0,0
g58,g58,Pyridoxal_deC,0,0,0,0,0,0
g59,g59,-,0,0,0,0,0,0
g60,g60,SPRY,0,0,0,0,0,0
g61,zf-Dof,Baculo_F,0,0,0,0,0,0
g62,g62,Dev_Cell_Death,0,0,0,1,0,0
g63,g63,Glutaredoxin,0,0,0,0,0,0
g64,g64,DUF4005,1,0,0,0,0,0
g65,zf-Dof,FMN_dh,0,0,0,5,7,0
g66,g66,PHD,868,1008,1156,402,188,646
g67,g67,Exostosin,0,4,0,13,9,35
g68,g68,Glycos_transf_2,0,0,0,0,0,0
g69,g69,Metallophos,0,0,0,0,0,0
g70,g70,RPA_C,0,0,0,0,0,0
g71,g71,Ribosomal_L34,0,2,0,4,0,0
g72,g72,-,14,12,6,190,47,111
g73,g73,HSP20,69,28,43,38,25,43
g74,g74,Pkinase,3149,2466,1993,2359,1204,3038
g75,g75,FeThRed_A,0,0,0,0,0,2
g76,g76,DEAD,0,0,0,0,0,0
g77,RVT_1,Y_phosphatase,0,0,0,0,0,0
g78,g78,Cellulase,0,0,0,0,0,0
g79,RVT_1,PCI,0,0,0,0,0,0
g80,g80,-,0,0,0,0,0,0
g81,g81,Abhydrolase_1,0,0,0,0,0,0
g82,g82,Frigida,0,0,0,0,0,0
g83,g83,-,0,0,0,0,0,0
g84,g84,DUF2470,0,0,0,0,0,0
g85,g85,BTB,0,0,0,0,0,0
g86,g86,LRR_3,2,0,0,0,0,0
g87,g87,ARD,0,0,0,0,0,0
g88,g88,EF-hand_7,0,0,0,2,0,0
g89,g89,MS_channel,0,0,0,0,0,0
g90,g90,-,898,701,520,519,192,234
g91,g91,GRAS,0,0,0,0,2,0
g92,g92,Peptidase_A22B,191,39,28,107,46,30
g93,g93,LRRNT_2,0,0,0,0,0,0
g94,g94,SGL,33,12,18,34,29,26
g95,g95,PP2C,55,40,28,27,8,29
g96,g96,Arg_tRNA_synt_N,148,290,288,274,316,349
g97,g97,ETF_QO,1595,1759,1555,2643,1815,2730
g98,g98,DUF3444,99,139,155,324,142,212
g99,g99,DUF3444,157,158,203,219,100,259
g100,g100,BSP,0,0,0,0,0,0
g101,g101,Chloroa_b-bind,0,14,0,8,0,0
g102,g102,Chloroa_b-bind,0,0,0,0,0,0
g103,FERM_M,Pyr_redox_2,0,0,0,2,0,0
g104,g104,ANF_receptor,296,223,407,900,849,580
g105,rve,ArgoL1,1,10,16,28,6,7
g106,g106,-,0,1,4,0,0,0
g107,TPP_enzyme_C,Rubis-subs-bind,0,0,0,2,0,0
g108,g108,2014-03-03,1347,1584,1464,2093,1064,1729
g109,AMP-binding,Exostosin,60,31,32,77,12,68
g110,GSHPx,LRRNT_2,75,61,66,55,50,79
g111,g111,Complex1_51K,0,0,0,0,0,0
g112,PCI,NDK,371,305,331,262,100,263
g113,g113,Mak10,22783,3578,9943,2697,2363,3580
g114,LRR_1,TAXi_C,0,0,0,0,0,0
g115,PX,DENN,0,0,0,0,0,0
g116,g116,AAA_33,0,0,0,0,0,0
g117,g117,K_trans,0,0,0,0,0,0
g118,g118,-,2,3,13,134,248,88
g119,g119,DHQS,14,68,107,136,90,208
g120,g120,-,0,0,0,0,0,0
g121,RVP_2,CTP_transf_like,203,170,105,1508,482,896
g122,G-patch,2014-03-03,4160,3192,3391,4553,1682,2638
g123,g123,Asp_protease_2,0,0,0,0,0,0
g124,g124,DNA_pol_delta_4,48,70,54,60,12,54
g125,g125,F-box,66,532,374,92,35,44
g126,g126,Tfb2,0,0,0,0,0,0
g127,Glyco_trans_1_4,CitMHS,18,91,60,25,6,35
g128,g128,KA1,0,2,1,2,5,2
g129,g129,WD40,138,110,103,139,37,163
g130,g130,Rib_5-P_isom_A,618,1714,1319,382,162,264
g131,g131,p450,0,20,3,2,0,0
g132,Bromodomain,SSXT,0,0,0,0,0,0
g133,g133,SSXT,23,16,37,44,15,34
g134,g134,Retrotran_gag_2,0,0,0,0,0,0
g135,g135,DUF4219,0,0,0,0,0,0
g136,g136,RVT_2,0,0,0,0,0,0
g137,g137,DUF5314,3804,615,1723,3939,2976,5514
g138,2-Hacid_dh,DUF4219,12322,282,745,2527,891,4884
g139,g139,DUF4219,0,0,0,19,0,6
g140,g140,DUF5314,0,2,0,0,0,0
g141,Rcd1,F-box,65,113,86,70,36,76
g142,RVT_1,EF-hand_1,0,0,0,4,0,0
g143,Retrotrans_gag,DDE_1,87,46,77,115,63,87
g144,PHD,TMEM18,0,0,0,0,0,0
g145,PrpF,CorA,0,0,0,0,0,0
g146,Exo70,Lung_7-TM_R,0,0,0,8,30,0
g147,g147,GAF,0,0,0,0,0,0
g148,g148,zf-Dof,1,0,2,0,0,0
g149,Pyridoxal_deC,GAF,623,2118,2029,2527,1342,1052
g150,g150,FYVE,0,0,0,0,0,0
g151,g151,Peptidase_M16,0,0,1,0,0,0
g152,g152,ABC2_membrane_3,0,0,0,0,0,0
g153,SPRY,Polyketide_cyc2,145,37,60,132,75,75
g154,Baculo_F,SPC22,0,0,0,6,0,0
g155,g155,Longin,0,0,0,0,0,6
g156,Dev_Cell_Death,TPK_B1_binding,0,0,0,0,0,0
g157,Glutaredoxin,Clat_adaptor_s,0,0,0,0,0,0
g158,DUF4005,HLH,0,0,0,0,0,0
g159,g159,GST_C_2,0,0,0,0,0,0
g160,FMN_dh,FPN1,0,0,0,0,0,0
g161,g161,DUF572,0,0,0,0,0,0
g162,g162,RVT_2,0,0,0,0,0,0
g163,g163,FPN1,0,0,0,0,0,0
g164,g164,DUF572,0,0,0,0,0,0
g165,g165,Exostosin,0,0,0,0,0,0
g166,PHD,Exostosin,0,0,0,0,0,0
g167,g167,-,7,2,3,5,4,0
g168,g168,Retrotrans_gag,0,0,0,0,0,0
g169,Exostosin,DA1-like,0,0,0,0,0,0
g170,Glycos_transf_2,XG_FTase,1918,542,963,390,494,323
g171,g171,Acid_phosphat_B,0,0,0,0,0,2
g172,Metallophos,AP2,0,0,0,9,0,0
g173,RPA_C,-,0,0,0,0,0,0
g174,Ribosomal_L34,MAPEG,0,0,0,0,0,0
g175,g175,Pkinase,0,0,0,0,0,0
g176,g176,EF-hand_7,0,0,0,0,0,0
g177,g177,-,0,0,0,0,0,0
g178,g178,FA_desaturase_2,0,1,0,0,0,0
g179,HSP20,Ribosomal_L2,445,579,542,978,1012,651
g180,g180,CHAT,0,0,0,0,0,0
g181,g181,MFS_1,0,0,0,0,0,0
g182,Pkinase,LpxC,0,0,0,0,0,0
g183,FeThRed_A,Thioredoxin,0,0,0,0,0,0
g184,DEAD,RVT_1,0,0,0,0,0,0
g185,Y_phosphatase,Exostosin,0,0,0,0,0,0
g186,g186,Exostosin,0,0,0,0,0,0
g187,g187,SBP,0,0,0,0,0,0
g188,Cellulase,RRM_1,0,0,0,0,0,0
g189,PCI,Rad4,0,0,0,0,0,0
g190,g190,Glyco_hydro_79n,35,9,31,47,30,39
g191,Abhydrolase_1,Aldo_ket_red,0,12,0,0,0,0
g192,g192,Presenilin,0,0,0,0,0,0
g193,Frigida,Tim17,0,0,0,0,0,0
g194,g194,MA3,49,55,53,100,73,87
g195,g195,ANAPC4_WD40,0,0,0,0,0,0
g196,g196,Med11,0,0,0,0,0,0
g197,g197,Acetyltransf_3,0,0,0,0,0,0
g198,g198,JAB,0,0,0,0,0,0
g199,g199,MFS_1,0,0,0,0,0,0
g200,DUF2470,-,8,1,8,0,0,10
g201,g201,CAP_C,0,0,0,0,0,0
g202,BTB,RVT_1,0,2,2,0,0,0
g203,LRR_3,DUF4216,2,2,0,0,0,0
g204,ARD,RVT_1,0,0,0,2,1,0
g205,EF-hand_7,FA_desaturase_2,6,2,0,1,0,1
g206,g206,RVT_1,0,0,0,0,0,2
g207,g207,FA_desaturase_2,87,60,109,260,177,166
g208,g208,FA_desaturase_2,13,12,2,18,0,6
g209,g209,DDE_3,29,6,34,24,17,6
g210,g210,-,59,227,193,14,18,66
g211,g211,LRRNT_2,3,2,4,4,4,0
g212,MS_channel,Spc97_Spc98,441,327,293,197,92,310
g213,g213,Chloroa_b-bind,59,60,45,26,25,29
g214,g214,-,9,12,11,2,17,13
g215,g215,Inhibitor_I29,557,324,572,871,303,533
g216,GRAS,DUF177,8,12,6,3,0,8
g217,g217,DsbD_2,0,0,8,6,0,0
g218,g218,NAD_binding_8,0,0,0,0,0,0
g219,g219,Chitin_bind_1,0,0,0,2,0,0
g220,Peptidase_A22B,Sas10_Utp3,10,0,0,0,0,0
g221,LRRNT_2,Foie-gras_1,0,0,0,0,0,0
g222,SGL,Enkurin,0,0,0,0,0,0
g223,PP2C,Annexin,0,0,0,0,0,0
g224,g224,Polyketide_cyc2,0,0,0,0,0,0
g225,g225,Snf7,0,0,0,0,0,0
g226,g226,UQ_con,0,0,0,0,0,0
g227,Arg_tRNA_synt_N,Fasciclin,0,0,0,0,0,0
g228,ETF_QO,DUF547,0,0,0,0,0,0
g229,DUF3444,APG12,0,0,0,0,0,0
g230,DUF3444,Methyltransf_29,0,0,1,0,0,0
g231,g231,Tmemb_14,0,0,1,0,0,0
g232,g232,DNA_methylase,0,0,0,0,0,0
g233,g233,IBR,204,214,173,283,173,109
g234,g234,FAD-oxidase_C,22,40,29,28,19,30
g235,g235,-,0,0,0,0,0,0
g236,g236,Methyltransf_16,159,410,302,192,63,129
g237,g237,-,9,56,13,4,0,8
g238,g238,Glyco_transf_43,0,0,0,4,0,6
g239,BSP,DPBB_1,78,126,239,372,212,343
g240,Chloroa_b-bind,DPBB_1,0,0,0,0,0,0
g241,Chloroa_b-bind,NB-ARC,0,0,0,0,0,0
g242,g242,RabGAP-TBC,0,0,0,0,0,0
g243,g243,-,0,0,0,0,0,0
g244,Pyr_redox_2,PA,0,0,0,0,0,0
g245,g245,LRR_4,0,0,0,0,0,0
g246,ANF_receptor,Ribosomal_L29,0,0,0,0,0,0
g247,ArgoL1,Dpy-30,0,0,0,0,0,0
g248,g248,DUF3537,0,0,0,0,0,0
g249,Rubis-subs-bind,HGTP_anticodon,0,0,0,27,7,22
g250,41701,UCR_hinge,0,0,0,0,0,0
g251,Exostosin,UCR_hinge,0,4,34,31,36,39
g252,g252,EGF_2,526,533,549,165,129,193
g253,g253,DUF229,9,8,9,28,1,25
g254,g254,Y_phosphatase,1953,2107,1818,736,348,565
g255,g255,-,148,144,239,52,78,36
g256,LRRNT_2,BSD,244,178,235,346,254,360
g257,Complex1_51K,SRPRB,135,152,158,61,22,49
g258,g258,Mito_carr,15,12,26,9,24,2
g259,NDK,V_ATPase_I,59,50,82,102,41,139
g260,g260,-,1,1,3,10,1,0
g261,g261,HSP70,66,96,150,56,87,32
g262,Mak10,-,13,2,5,8,1,0
g263,g263,HTH_Tnp_Tc5,0,0,0,0,1,5
g264,g264,COPI_assoc,0,0,6,58,68,14
g265,TAXi_C,O-FucT,0,0,0,0,0,0
g266,DENN,MatE,0,0,0,0,0,0
g267,AAA_33,TPT,0,0,0,0,8,2
g268,g268,Lipoxygenase,2,20,15,309,25,43
g269,g269,Lipoxygenase,0,0,0,0,0,0
g270,g270,Pyrophosphatase,0,0,0,0,0,0
g271,g271,Tom22,0,0,0,0,0,0
g272,g272,Pkinase,0,0,0,0,0,0
g273,g273,-,0,0,0,2,0,0
g274,g274,Aldedh,146,253,236,126,120,164
g275,g275,-,0,0,0,0,0,0
g276,g276,EamA,0,0,0,0,0,0
g277,g277,Inhibitor_I9,0,0,0,2,0,0
g278,g278,SRP68,0,0,0,0,0,2
g279,g279,zf-RING_2,0,0,0,0,0,0
g280,g280,DUF1218,0,0,0,0,0,0
g281,g281,F-box,0,0,0,0,0,0
g282,K_trans,LEA_2,0,0,0,0,0,0
g283,g283,-,0,0,0,0,0,0
g284,DHQS,Inhibitor_I9,0,0,0,0,0,0
g285,g285,WD40,0,0,0,0,0,0
g286,CTP_transf_like,Stig1,0,0,0,0,0,0
g287,g287,Stig1,0,0,0,0,0,0
g288,41701,LRRNT_2,6,4,6,38,0,0
g289,g289,LRRNT_2,0,0,0,0,0,0
g290,g290,LRRNT_2,0,0,4,4,0,10
g291,Asp_protease_2,LRR_8,0,0,0,0,0,0
g292,g292,Dirigent,0,0,0,0,0,0
g293,DNA_pol_delta_4,DUF72,0,0,0,0,0,0
g294,F-box,Ank_2,0,0,0,0,0,0
g295,Tfb2,DnaJ,0,0,0,0,0,0
g296,CitMHS,DUF641,0,0,0,0,0,0
g297,g297,BAG,0,0,0,0,0,0
g298,g298,-,0,0,0,0,0,0
g299,KA1,Auxin_inducible,0,0,0,0,0,0
g300,g300,HATPase_c,0,0,0,0,0,0
g301,WD40,Arf,0,0,0,0,0,0
g302,g302,tRNA_deacylase,0,0,0,0,0,0
g303,g303,EFG_C,0,0,0,0,0,0
g304,Rib_5-P_isom_A,zf-RING_2,0,0,0,0,0,0
g305,g305,AP2,0,0,0,0,0,0
g306,g306,-,0,0,0,0,0,0
g307,p450,LRR_4,0,0,0,0,0,0
g308,g308,adh_short_C2,0,0,0,0,0,2
g309,g309,Aldo_ket_red,1,12,2,7,0,10
g310,SSXT,Ribosomal_L44,0,0,0,0,0,0
g311,SSXT,-,0,0,0,0,0,0
g312,Retrotran_gag_2,F-box,0,0,0,0,0,0
g313,DUF4219,N6_N4_Mtase,0,0,0,0,0,0
g314,RVT_2,Abhydrolase_1,0,0,0,0,0,0
g315,DUF5314,Proteasome,0,0,0,0,0,0
g316,DUF4219,DUF3474,1,55,65,8,10,17
g317,g317,DUF4033,0,0,0,0,0,0
g318,g318,BTB,39,29,67,64,70,58
g319,g319,PsbP,0,0,0,0,0,0
g320,g320,Chloroa_b-bind,0,0,4,0,0,0
g321,g321,ABC2_membrane,63,62,89,30,26,81
g322,g322,Chloroa_b-bind,99,93,135,116,63,89
g323,g323,OPT,0,0,0,3,0,0
g324,g324,POT1,0,0,0,0,0,0
g325,g325,Helicase_C,0,0,0,0,0,0
g326,DUF4219,ELFV_dehydrog,0,0,0,0,0,0
g327,DUF5314,FHA,10,11,9,30,10,33
g328,g328,-,0,0,0,0,0,0
g329,g329,Cullin,0,0,0,0,0,0
g330,F-box,Bromodomain,0,0,0,0,0,0
g331,g331,Exostosin,3,1,2,6,4,0
g332,EF-hand_1,Pro_isomerase,0,0,0,0,0,0
g333,g333,Epimerase,0,0,0,0,0,0
g334,DDE_1,DUF547,0,3,1,1,0,0
g335,g335,Pkinase_Tyr,693,452,493,206,69,317
g336,g336,GST_C_2,892,426,564,272,82,310
g337,TMEM18,2014-03-03,0,0,0,0,0,0
g338,CorA,2014-03-03,40,42,64,28,4,47
g339,g339,HTH_Tnp_Tc5,0,0,0,0,1,4
g340,g340,2014-03-03,0,0,0,0,0,0
g341,g341,2014-03-03,0,0,0,0,0,0
g342,g342,Thioredoxin,27,77,93,371,286,592
g343,g343,ubiquitin,39,283,192,65,58,330
g344,g344,TerC,13,38,58,382,644,221
g345,Lung_7-TM_R,Kin17_mid,113,525,638,67,43,58
g346,GAF,XG_FTase,0,0,0,0,0,2
g347,g347,PPR,73,8,72,185,102,63
g348,zf-Dof,zf-C2H2,0,0,0,0,0,0
g349,g349,Nucleotid_trans,0,0,0,3,0,0
g350,g350,DPBB_1,0,0,0,0,0,0
g351,g351,DUF2389,119,24,71,62,29,85
g352,GAF,HLH,534,350,808,1116,501,800
g353,FYVE,-,0,4,4,196,90,181
g354,Peptidase_M16,-,4,10,4,67,42,52
g355,g355,Kinesin,0,14,22,30,10,77
g356,ABC2_membrane_3,PG_binding_1,0,0,2,1,0,3
g357,g357,Glyco_transf_8,4,0,0,0,0,4
g358,g358,Sugar_tr,8,5,1,0,0,16
g359,Polyketide_cyc2,FA_desaturase,0,0,0,0,0,0
g360,SPC22,SKIP_SNW,1,25,15,0,4,1
g361,g361,GNT-I,4,0,0,0,0,0
g362,g362,LRR_8,12,27,15,10,17,1
g363,Longin,FH2,88,263,254,97,135,158
g364,g364,Alpha_kinase,5,7,17,13,20,20
g365,g365,RMI1_C,0,0,0,1,0,0
g366,TPK_B1_binding,DUF3453,0,0,0,0,0,0
g367,Clat_adaptor_s,Cnd1,0,13,8,0,1,3
g368,g368,Glyco_transf_4,91,153,139,234,158,250
g369,g369,Fer2,8,3,3,14,9,10
g370,HLH,Nicastrin,15329,4183,8119,8109,9257,8341
g371,g371,Gal_mutarotas_2,29715,239,562,2282,1740,3911
g372,GST_C_2,HATPase_c,220,7,16,114,54,56
g373,g373,Xan_ur_permease,36125,1557,2122,3172,3183,7648
g374,FPN1,FKBP_C,0,0,0,1,7,10
g375,g375,Ammonium_transp,0,0,0,6,6,1
g376,DUF572,UCR_14kD,76,74,52,32,34,93
g377,g377,Methyltransf_29,164,106,105,63,24,82
g378,g378,Methyltransf_29,0,0,0,1,0,0
g379,g379,F-box,17,61,40,24,17,9
g380,RVT_2,F-box,9,0,2,2,6,0
g381,FPN1,HSP70,1152,1844,2150,770,910,927
g382,DUF572,HSP70,70,141,194,39,27,54
g383,g383,NB-ARC,16,30,22,127,101,212
g384,g384,Dus,64,64,45,95,21,103
g385,g385,DUF674,0,0,0,0,0,0
g386,g386,WD40,0,0,0,0,0,0
g387,g387,LSM,0,0,0,0,0,0
g388,g388,Rad51,0,0,0,0,0,0
g389,g389,Ecm29,0,0,0,0,0,0
g390,g390,Chloroa_b-bind,0,0,0,0,4,0
g391,Exostosin,Chloroa_b-bind,20,27,30,20,18,20
g392,Exostosin,Chloroa_b-bind,36,60,19,11,2,45
g393,g393,DUF543,1,10,4,4,0,11
g394,g394,zf-C3HC4,0,0,0,0,0,0
g395,g395,Aconitase,0,0,0,0,0,0
g396,g396,RVT_1,3299,4488,3822,3950,1974,3511
g397,g397,Chromo,0,0,0,0,0,0
g398,g398,Exostosin,0,0,0,0,0,0
g399,Retrotrans_gag,Exostosin,0,0,0,0,0,0
g400,g400,Exostosin,0,0,0,0,0,0
g401,DA1-like,PPR,4,4,8,20,18,18
g402,XG_FTase,CDP-OH_P_transf,94,1088,884,51,29,75
g403,Acid_phosphat_B,Myb_DNA-binding,7,12,10,15,2,15
g404,AP2,-,0,0,0,0,0,0
g405,g405,DUF716,0,0,0,4,0,3
g406,g406,ABC2_membrane_3,182,151,247,446,166,425
g407,g407,RRM_1,0,5,0,3,0,0
g408,MAPEG,Cytochrom_B561,0,2,0,0,0,0
g409,Pkinase,CCT,1,51,30,30,22,16
g410,EF-hand_7,CBFD_NFYB_HMF,359,349,398,1490,1022,1204
g411,g411,RrnaAD,445,242,635,395,243,230
g412,g412,VMA21,2,0,6,0,0,0
g413,g413,-,5,87,26,52,56,28
g414,FA_desaturase_2,SMK-1,0,0,0,0,0,0
g415,g415,Myb_CC_LHEQLE,34,6,4,6,4,14
g416,Ribosomal_L2,DEAD,2,7,4,14,1,19
g417,CHAT,Ribosomal_S24e,0,0,0,0,0,0
g418,MFS_1,E1_dh,0,0,0,0,0,0
g419,LpxC,Ribosomal_L21e,0,0,0,0,0,0
g420,Thioredoxin,CRS1_YhbY,622,1988,2110,2780,5770,4854
g421,g421,Glyco_transf_34,0,0,0,0,0,0
g422,g422,-,0,0,0,0,0,0
g423,g423,N6_N4_Mtase,0,0,0,0,0,0
g424,g424,N6_N4_Mtase,0,0,0,0,0,0
g425,g425,Asp_protease_2,0,0,0,0,0,0
g426,RVT_1,PHD,305,216,335,155,131,149
g427,g427,Pkinase,0,0,0,0,0,0
g428,g428,IF-2B,4,13,2,91,21,71
g429,g429,Pkinase,1,12,7,61,20,32
g430,g430,SMK-1,0,0,1,2,0,2
g431,g431,Myb_CC_LHEQLE,0,0,0,0,0,0
g432,g432,Cauli_VI,0,0,0,0,0,0
g433,g433,-,0,0,0,0,0,0
g434,Exostosin,Asp_protease_2,0,0,0,0,0,0
g435,Exostosin,DDE_3,0,0,0,0,0,0
g436,g436,-,0,0,0,0,0,0
g437,SBP,DUF2470,0,0,0,0,0,0
g438,g438,Peptidase_M16,0,0,0,3,0,0
g439,g439,-,0,0,0,0,0,0
g440,g440,6PGD,0,0,0,0,0,0
g441,g441,CLP_protease,0,0,0,0,0,0
g442,g442,Acetyltransf_1,0,0,0,0,0,0
g443,RRM_1,TRAPPC9-Trs120,0,0,0,0,0,0
g444,Rad4,TRAPPC9-Trs120,0,0,0,0,0,0
g445,g445,Myb_DNA-binding,0,0,0,0,0,0
g446,g446,Pyr_redox_2,0,0,0,0,0,0
g447,Glyco_hydro_79n,FAD_binding_3,0,0,0,0,0,0
g448,Aldo_ket_red,UPF0565,0,0,0,0,0,0
g449,Presenilin,PEPcase,0,0,0,0,0,0
g450,g450,Ribonuc_L-PSP,0,0,0,0,6,0
g451,Tim17,Auxin_BP,0,0,0,0,0,0
g452,MA3,Aldo_ket_red,0,0,0,0,0,0
g453,ANAPC4_WD40,HAD_2,0,0,0,0,0,0
g454,g454,-,0,0,0,0,0,0
g455,g455,Ldh_1_C,0,0,0,0,0,0
g456,Med11,-,0,0,0,0,0,0
g457,g457,LMBR1,0,0,0,0,0,0
g458,Acetyltransf_3,ENTH,0,0,0,0,0,0
g459,g459,PfkB,0,0,0,0,0,0
g460,JAB,ALMT,0,0,0,0,0,0
g461,g461,-,0,0,0,0,0,0
g462,g462,DUF5323,53,119,79,70,29,82
g463,g463,Abi,55,36,67,114,90,67
g464,g464,VPEP,4,26,19,37,37,18
g465,g465,ABC1,36,18,22,45,7,43
g466,MFS_1,Methyltransf_21,151,123,169,485,476,357
g467,g467,AAA_11,0,0,0,6,11,16
g468,g468,AAA_11,28,16,35,111,24,35
g469,g469,PTR2,0,0,0,0,0,0
g470,g470,-,0,0,0,0,0,0
g471,g471,Adaptin_N,4,0,11,4,14,20
g472,g472,4F5,12,55,21,0,4,11
g473,g473,LOR,23,33,48,4,9,9
g474,CAP_C,GN3L_Grn1,0,0,0,0,0,0
g475,RVT_1,-,0,0,0,0,0,0
g476,g476,Glyco_transf_34,0,0,0,0,0,0
g477,g477,B12D,0,0,0,0,0,0
g478,g478,AT_hook,0,0,0,0,0,0
g479,g479,-,0,0,0,0,0,0
g480,g480,U-box,0,0,0,0,0,0
g481,g481,-,0,0,0,0,0,0
g482,DUF4216,Pyr_redox_2,0,0,0,0,0,0
g483,g483,Caleosin,0,0,0,0,0,4
g484,g484,Peptidase_S10,0,0,0,0,0,0
g485,g485,Ran_BP1,0,0,0,0,0,0
g486,g486,MFS_1,0,0,0,0,0,0
g487,g487,WD40,0,0,0,0,0,0
g488,g488,-,0,0,0,0,0,0
g489,RVT_1,Seryl_tRNA_N,0,0,0,0,0,0
g490,g490,Clat_adaptor_s,0,0,0,0,0,0
g491,g491,Lipase_3,0,0,0,0,0,0
g492,g492,DNA_gyraseB,0,0,0,0,0,0
g493,g493,CHD5,0,0,0,0,0,0
g494,FA_desaturase_2,-,0,0,0,0,0,0
g495,g495,MFS_1,0,0,0,0,0,0
g496,g496,TPR_1,0,0,0,0,0,0
g497,g497,DUF3395,0,0,0,0,0,0
g498,g498,DUF3395,0,0,0,0,0,0
g499,g499,Myb_CC_LHEQLE,0,0,0,0,0,0
g500,g500,-,0,0,0,0,0,0
g501,g501,Helicase_C,0,0,0,0,0,0
g502,g502,Nup192,0,0,0,0,0,0
g503,g503,Ribosomal_S27,0,0,0,0,0,0
g504,RVT_1,-,0,0,0,0,0,0
g505,g505,N6_N4_Mtase,0,0,0,0,0,0
g506,g506,NIF,0,0,0,0,0,0
g507,g507,Exostosin,0,0,0,0,0,0
g508,g508,Exostosin,6,0,2,0,0,0
g509,FA_desaturase_2,N6_N4_Mtase,0,0,0,0,0,0
g510,FA_desaturase_2,Cu_bind_like,0,0,0,0,0,0
g511,g511,peroxidase,0,0,0,0,0,0
g512,g512,-,0,0,0,0,0,0
g513,g513,-,0,0,0,0,0,0
g514,g514,DUF4283,0,0,0,0,0,0
g515,g515,Asp_protease_2,0,0,0,0,0,0
g516,DDE_3,N6_N4_Mtase,0,0,0,0,0,0
g517,g517,PNMA,0,0,0,0,0,0
g518,g518,-,0,0,0,0,0,0
g519,g519,DUF659,0,0,0,0,0,0
g520,g520,DUF659,85,90,86,308,251,146
g521,g521,AAA,0,0,0,2,2,0
g522,g522,DUF4216,7,126,92,5,7,1
g523,g523,DUF4218,1,0,0,0,0,0
g524,g524,DUF4216,0,0,0,0,0,0
g525,g525,DUF4216,0,0,0,0,0,0
g526,LRRNT_2,Ras,0,0,0,0,0,0
g527,Spc97_Spc98,Ras,0,0,0,0,0,0
g528,Chloroa_b-bind,Proteasome,0,0,0,0,0,0
g529,g529,Proteasome,0,0,0,0,0,0
g530,g530,Ras,0,0,0,0,0,0
g531,Inhibitor_I29,-,9,4,12,38,12,50
